,pc1_var,pc1_cosine_to_fullsample
2017-06-16,0.36567067883658927,0.8223446174290395
2017-06-19,0.3655939152900677,0.818596573143598
2017-06-20,0.3630457635028987,0.8014054456578533
2017-06-21,0.36320952665442047,0.8005276977985211
2017-06-22,0.36182894179796454,0.8006232892400811
2017-06-23,0.3612975329419757,0.7960534273876732
2017-06-26,0.36196753183980807,0.792501303540048
2017-06-27,0.3622083092201928,0.7912569370512649
2017-06-28,0.35643848573558723,0.7925563659726724
2017-06-29,0.35581075854740035,0.7930927315385489
2017-06-30,0.3562017794681925,0.7979056064087864
2017-07-03,0.3572405931360575,0.800658936840981
2017-07-04,0.3576046631594031,0.7981404437080903
2017-07-05,0.3578562861460293,0.7984242206786611
2017-07-06,0.35692054044639426,0.7914626931430582
2017-07-07,0.3548850872196411,0.7967171823329087
2017-07-10,0.3546887324577743,0.7978786360568512
2017-07-11,0.3546806720742978,0.7977086084756175
2017-07-12,0.3530507086361725,0.7975547986007928
2017-07-13,0.3525753905390915,0.8015885273952812
2017-07-14,0.3519366551437755,0.7969450476173203
2017-07-17,0.35229749148735456,0.7969783175766286
2017-07-18,0.35346559010845824,0.7909665396828968
2017-07-19,0.3523713017765454,0.784226363389694
2017-07-20,0.35257981244423847,0.7832741247863585
2017-07-21,0.35297096470021616,0.7827316892930355
2017-07-24,0.3535874966512381,0.783408263147748
2017-07-25,0.3409639258372093,0.6635028318217493
2017-07-26,0.34038550585579125,0.669656138914951
2017-07-27,0.3408281766503887,0.6641493343363869
2017-07-28,0.34152660029083,0.6643061061517616
2017-07-31,0.34160938265582586,0.6621353356948296
2017-08-01,0.3406048022154735,0.6583477337371363
2017-08-02,0.3398005393228858,0.6572168086748699
2017-08-03,0.3405937302202863,0.6482423423925039
2017-08-04,0.3404236068474962,0.6519857357268648
2017-08-07,0.3397461035053377,0.655600727703408
2017-08-08,0.3400344077981995,0.6492416585897214
2017-08-09,0.3395570426433936,0.6408035699761823
2017-08-10,0.3387613011984689,0.6347187682490046
2017-08-11,0.33911441376812557,0.636460617759216
2017-08-14,0.34084994100218724,0.6411686583171892
2017-08-15,0.34376297236069053,0.619952708366479
2017-08-16,0.3449679554248427,0.6291884621006534
2017-08-17,0.34440535136226186,0.6294067749211445
2017-08-18,0.3443966829681158,0.6350743098731381
2017-08-21,0.3443696670501843,0.6365253109766528
2017-08-22,0.3441665176047905,0.637170531788518
2017-08-23,0.34404815136292294,0.6288012354203393
2017-08-24,0.34523609908135017,0.6310733634289767
2017-08-25,0.3546194619315744,0.6308681205493851
2017-08-28,0.35619230103073735,0.622486457299655
2017-08-29,0.36401569604601225,0.6135202421851067
2017-08-30,0.365977187133487,0.6229513446050073
2017-08-31,0.36604833301042355,0.6218088286257928
2017-09-01,0.36842472955178274,0.633907957404995
2017-09-04,0.3692094072068423,0.6307084424093778
2017-09-05,0.3680656557046819,0.623603962826403
2017-09-06,0.36248503262428855,0.618276106713169
2017-09-07,0.3627179934576059,0.6148833052552602
2017-09-08,0.3639599071922053,0.6203568906771363
2017-09-11,0.3653577146292007,0.6164823411346391
2017-09-12,0.365540966851446,0.6260269608035179
2017-09-13,0.3648295521225827,0.6344925418517732
2017-09-14,0.3658161420712259,0.6280992160634644
2017-09-15,0.3640596190794615,0.6220296078042875
2017-09-18,0.36376207542042066,0.6217113810628516
2017-09-19,0.36553296190020823,0.6235418246498471
2017-09-20,0.3648865340909459,0.6222251538242862
2017-09-21,0.36481021684269727,0.6264714469033625
2017-09-22,0.3658139705899521,0.6245294706731758
2017-09-25,0.36821746331669303,0.6240276483519559
2017-09-26,0.3684360280290184,0.6283176414854083
2017-09-27,0.3683843834114077,0.6273544665853136
2017-09-28,0.36890139400563315,0.6378434213020384
2017-09-29,0.3678296884991456,0.635326270400563
2017-10-10,0.36744051381164083,0.634482561518472
2017-10-11,0.36864697132637547,0.6273310420087373
2017-10-12,0.3691360626821453,0.6244396967987186
2017-10-13,0.3694172612769817,0.6130065449738444
2017-10-16,0.3707190279970951,0.6123039133379546
2017-10-17,0.37102593566221986,0.606887914312292
2017-10-18,0.3743679338795057,0.5987329056119213
2017-10-19,0.37475348008008535,0.5938181949762927
2017-10-20,0.37607401631345955,0.5901021051648887
2017-10-23,0.3748819729571831,0.5946163198857833
2017-10-24,0.3761179756672468,0.5950439549177127
2017-10-25,0.37532765902957116,0.5892189104685489
2017-10-26,0.3749017846022166,0.5782900989874467
2017-10-27,0.37282136849319186,0.5743241167413047
2017-10-30,0.3734501445978826,0.5537272630331057
2017-10-31,0.37717857946260847,0.5095663296267815
2017-11-01,0.3789464590905667,0.5036661569365947
2017-11-02,0.3802399134307819,0.4972348383390379
2017-11-03,0.380669126797175,0.4942578407361701
2017-11-06,0.3795645519732021,0.4877697549175313
2017-11-07,0.3792894075649492,0.48598973590407946
2017-11-08,0.37882630387777555,0.4916080838710448
2017-11-09,0.37913130721737487,0.4903127303882877
2017-11-10,0.3779257707379427,0.4884103988144335
2017-11-13,0.3763661624097498,0.4961625665410962
2017-11-14,0.3776905566789271,0.496213016375979
2017-11-15,0.3774701703544363,0.4972595999711332
2017-11-16,0.382101732249881,0.5089578805070382
2017-11-17,0.38229620398710584,0.5054089987708411
2017-11-20,0.3817012031367351,0.5019564283904404
2017-11-21,0.3819767341092268,0.49669095489224624
2017-11-22,0.3821480339958038,0.4990198223019201
2017-11-23,0.38232177577257537,0.48845893230741017
