date,regime_most_likely,regime_prob_0,regime_prob_1,regime_prob_2,regime_raw
2012-04-27,1,4.331392392764789e-05,0.8843743622636128,0.11558232381250472,1
2012-05-02,1,1.989215967006308e-06,0.9967595127112092,0.0032384980720661692,1
2012-05-03,1,5.762712573778596e-07,0.9980061868014982,0.0019932369279518952,1
2012-05-04,1,3.7155621464160073e-07,0.9992581633961689,0.0007414650479897034,1
2012-05-07,1,7.62707479233243e-07,0.9917544377278464,0.008244799564339673,1
2012-05-08,1,1.9910675645046676e-07,0.999416776116263,0.0005830247765837702,1
2012-05-09,1,3.0617909616313363e-07,0.9960768850157757,0.003922808805827503,1
2012-05-10,1,2.7378774376539775e-07,0.9992155673524152,0.0007841588605802557,1
2012-05-11,1,1.7212026380161446e-06,0.9985634261004899,0.0014348526974791312,1
2012-05-14,1,1.3420588991931207e-06,0.992748935218449,0.007249722722155039,1
2012-05-15,1,5.669571485772911e-07,0.5254802455022525,0.4745191875409627,1
2012-05-16,1,8.699016031975962e-05,0.9045350413809095,0.09537796845818565,1
2012-05-17,1,1.3558587711278748e-05,0.9959707510450789,0.0040156903673523,1
2012-05-18,1,6.775354275078757e-06,0.9748460389625252,0.025147185682616466,1
2012-05-21,1,1.3611982482145965e-05,0.9968871351764567,0.0030992528405776078,1
2012-05-22,1,9.5865485541173e-06,0.9969261318366136,0.0030642816151657585,1
2012-05-23,1,3.738806066378709e-05,0.9500792860501429,0.04988332588911475,1
2012-05-24,1,1.8308385363619086e-05,0.9538206455702855,0.04616104604400576,1
2012-05-25,1,6.917187205368816e-06,0.9960224172213386,0.003970665590746902,1
2012-05-28,1,3.289927496702316e-06,0.9985702498608252,0.001426460211918461,1
2012-05-31,1,1.949306446202614e-06,0.5003933483006658,0.49960470239277005,1
2012-06-05,1,1.7722714701851667e-05,0.023452856618970105,0.9765294206660613,2
2012-06-06,1,3.33339238852594e-05,0.5868035296759807,0.4131631364001144,1
2012-06-07,2,0.0008950095989921597,0.02191848512877937,0.9771865052726982,2
2012-06-08,2,0.011211643823302872,0.15375274644774253,0.8350356097290973,2
2012-06-11,2,0.008936522736256967,0.46832317816130087,0.5227402991021638,2
2012-06-12,2,0.007974535730400191,0.5829963214638908,0.4090291428062443,2
2012-06-13,2,0.00880666363333712,0.0687307136902819,0.9224626226766341,2
2012-06-14,2,0.016839249589544667,0.6334150384790318,0.34974571193194154,1
2012-06-15,1,0.02467283636715981,0.633641726967182,0.34168543666530754,1
2012-06-18,1,0.008057009165939377,0.393050011719517,0.5988929791151727,2
2012-06-19,2,0.004525920341887735,0.006934793977449893,0.9885392856807258,2
2012-06-20,2,0.0074396913659999925,0.04530611628970338,0.9472541923446799,2
2012-06-21,2,0.004397853716327818,0.025741601182708237,0.9698605451018374,2
2012-06-22,2,0.0027251965030810235,0.016654490582856354,0.9806203129139196,2
2012-06-25,2,0.006027453894093292,0.22639840791842,0.767574138186816,2
2012-06-26,2,0.005315586883060692,0.08246565582501798,0.9122187572921285,2
2012-06-27,2,0.0035145698432786678,0.631910177347167,0.36457525280998115,1
2012-06-28,1,0.0026161657804091355,0.9060031553009417,0.09138067891915291,1
2012-06-29,1,0.0017297480045115766,0.9611458759509514,0.03712437604367289,1
2012-07-02,1,0.01138929467757236,0.02158092514805581,0.967029780175281,2
2012-07-03,2,0.39294699641871045,0.28400387728173154,0.3230491263003125,2
2012-07-04,2,0.8635736763147582,0.12335380503113005,0.013072518654548716,0
2012-07-09,0,0.9916773542641126,0.0067552689571432015,0.001567376777843915,0
2012-07-10,0,0.927162523068372,0.06226086568288034,0.010576611249138472,0
2012-07-13,0,0.49472554383729817,0.48026588700182926,0.025008569160938087,0
2012-07-16,0,0.11174471698241162,0.85924377016374,0.02901151285459971,1
2012-07-17,1,0.012155731168479901,0.9736178484626568,0.014226420368530899,1
2012-07-18,1,0.0027030346361249192,0.9867913474498143,0.010505617914838786,1
2012-07-19,1,0.002108613218007728,0.9867792494033218,0.011112137378614242,1
2012-07-20,1,0.0016936570295194469,0.9897864205092485,0.008519922461467808,1
2012-07-23,1,0.007477028017497667,0.9186552189667521,0.0738677530159361,1
2012-07-24,1,0.01610795849753656,0.9497417476893714,0.03415029381382301,1
2012-07-25,1,0.029778775803391295,0.9380750957380334,0.03214612845798375,1
2012-07-26,1,0.020237929582910923,0.9646287140732828,0.015133356344204558,1
2012-07-27,1,0.06423582202440875,0.8514475743430845,0.08431660363280248,1
2012-07-30,1,0.16017574867244835,0.0020318916285423077,0.8377923596986558,2
2012-07-31,1,0.015788881601434938,0.5575007493427236,0.42671036905612775,1
2012-08-01,2,0.19294341848414698,0.0010593018187963967,0.8059972796965925,2
2012-08-02,2,0.002827994891113955,0.0005987909828244086,0.9965732141268395,2
2012-08-03,2,3.149648503927702e-05,0.0002555856305785452,0.9997129178840862,2
2012-08-06,2,5.224272236563463e-07,0.00020526303232381514,0.9997942145401468,2
2012-08-07,2,0.49617633690688545,0.0017146625160571085,0.502109000577303,2
2012-08-08,2,0.04568600952906844,0.0017349442128137822,0.9525790462572516,2
2012-08-09,2,0.6050191674502434,0.0012707596971467028,0.3937100728526072,0
2012-08-10,0,0.8256441847320523,0.00020568614992846538,0.17415012911836822,0
2012-08-13,0,0.9212182248403878,0.00012078034844244562,0.0786609948103352,0
2012-08-14,0,0.9881115701604127,1.6129036202510829e-06,0.011886816936414019,0
2012-08-15,0,0.5737219177289532,7.331434822317379e-05,0.42620476792292866,0
2012-08-16,0,0.001025112556977969,1.1860976641814602e-05,0.9989630264655541,2
2012-08-17,2,0.3734185214539273,1.2504941298118477e-05,0.6265689736047966,2
2012-08-20,2,0.8101719040438564,1.0284019131911872e-05,0.18981781193669237,0
2012-08-21,0,0.9524092633530635,9.637586905282113e-06,0.04758109906049696,0
2012-08-22,0,0.9879835514995098,5.792103425452671e-06,0.012010656397126469,0
2012-08-23,0,0.0020502190310052065,1.953528687195358e-05,0.997930245681566,2
2012-08-24,2,0.23075287472038547,4.1061005901243685e-05,0.7692060642735603,2
2012-08-27,2,0.7821700395853486,3.15566584616855e-05,0.2177984037566315,0
2012-08-28,0,0.9607065462212552,2.0512262077071693e-05,0.039272941516435705,0
2012-08-29,0,0.9844360663142546,1.8363861964132358e-05,0.015545569824268544,0
2012-08-30,0,0.9768582960504303,6.777094884108289e-05,0.0230739329998721,0
2012-08-31,0,0.9766375693397416,1.4491385969247576e-05,0.02334793927519312,0
2012-09-03,0,0.9968488316432697,3.8351277698725885e-09,0.0031511645207190097,0
2012-09-06,0,0.9911024546132337,5.804639996593497e-09,0.008897539581226275,0
2012-09-07,0,0.9939808794068248,4.5580089734436805e-09,0.006019116034809039,0
2012-09-10,0,0.9686916652436671,1.5956787103301333e-08,0.03130831879955967,0
2012-09-11,0,0.9993233023157477,9.732007651655378e-10,0.0006766967111365136,0
2012-09-12,0,0.9975061801377816,6.010140657022755e-09,0.0024938138524341477,0
2012-09-13,0,0.9808404906483478,1.3662915164297968e-07,0.019159372721990503,0
2012-09-14,0,0.900191383895593,2.3999245593411734e-07,0.0998083761126366,0
2012-09-17,0,2.215726575799435e-05,2.43096159863903e-07,0.9999775996383128,2
2012-09-18,0,0.7137272976606261,3.7410576273038437e-07,0.28627232823372584,0
2012-09-19,0,0.938549885120253,2.472387419927572e-07,0.061449867641337516,0
2012-09-20,0,0.9936769297564283,7.952892412023414e-08,0.006322990714347676,0
2012-09-21,0,0.9940948382583208,2.2395102077927866e-07,0.0059049377911701405,0
2012-09-24,0,0.9954786718416485,3.63646951975404e-07,0.004520964510564112,0
2012-09-25,0,0.9832951481405645,5.859454540747076e-07,0.01670426591478197,0
2012-09-26,0,0.9927515906415678,4.479430594252257e-07,0.007247961415720455,0
2012-09-27,0,0.09528557912809758,3.06158197287651e-06,0.9047113592904592,2
2012-09-28,0,0.7628992249626014,5.080578583922818e-07,0.2371002669799641,0
2012-10-03,0,5.148393275744701e-07,0.9906624067032791,0.009337078456553098,1
2012-10-04,1,3.0002828589110216e-07,0.9963123385655486,0.003687361405312274,1
2012-10-05,1,7.468306443164368e-07,0.9878052800058091,0.012193973164358374,1
2012-10-08,1,6.535684031764148e-05,0.64773865076825,0.3521959923914581,1
2012-10-09,1,2.0650899156333882e-05,0.9640755987318181,0.035903750368332064,1
2012-10-10,1,4.761249788910782e-05,0.9821295231913761,0.01782286431138157,1
2012-10-11,1,3.4077028684690405e-05,0.9913120588609515,0.008653864111119727,1
2012-10-12,1,6.253729744976114e-05,0.9892728627156615,0.010664599986643056,1
2012-10-15,1,0.00013091065304137866,0.9730571900437736,0.026811899303112854,1
2012-10-16,1,0.00032620982496121354,0.9816088390736208,0.018064951101852328,1
2012-10-17,1,0.0011822217661937365,0.89859635953958,0.10022141869436937,1
2012-10-18,1,0.0029851452840026285,0.027228737516036126,0.9697861171992156,2
2012-10-19,2,0.004576894105242715,0.4988724894828286,0.4965506164114014,2
2012-10-22,2,0.0028366823058214806,0.369127658374992,0.6280356593195658,2
2012-10-23,2,0.0061345143335184114,0.72903451479609,0.26483097087097995,1
2012-10-24,1,0.0034400731757352272,0.8738097999125868,0.12275012691174449,1
2012-10-25,1,0.0008528949767241707,0.9627409101368758,0.03640619488671227,1
2012-10-26,1,0.0052798958797346035,0.7159780153665471,0.27874208875378226,1
2012-10-29,1,0.003069707751913729,0.8993056937525599,0.0976245984960199,1
2012-11-02,1,0.023087805898952696,0.931483563245612,0.04542863085541068,1
2012-11-05,1,0.01525063132058592,0.947148580743133,0.03760078793570913,1
2012-11-06,1,0.012268937521967347,0.9555199262666534,0.03221113621064471,1
2012-11-07,1,0.009226906377283175,0.9708775033393385,0.019895590283850448,1
2012-11-08,1,0.004922919268023056,0.699653339575288,0.2954237411561158,1
2012-11-09,1,0.012691698737420752,0.8815999973741816,0.10570830388834038,1
2012-11-12,1,0.010839334383069634,0.9503867435348191,0.03877392208247489,1
2012-11-13,1,0.011163930905940268,0.9700509395863697,0.01878512950834393,1
2012-11-14,1,0.008045044310605562,0.9784495217109284,0.013505433977986423,1
2012-11-15,1,0.005978192060714072,0.9820822281612028,0.011939579777395836,1
2012-11-16,1,0.004384364917595293,0.9837172656467363,0.011898369436380325,1
2012-11-19,1,0.003259696921292676,0.9869826546353545,0.009757648442622387,1
2012-11-20,1,0.0040550550750581464,0.9770259036229542,0.018919041301486438,1
2012-11-21,1,0.007443364207970431,0.8925933658062412,0.09996326998625805,1
2012-11-22,1,0.02244800616600141,0.9223049216555681,0.05524707217773414,1
2012-11-27,1,0.11857728842295608,0.8177072392756564,0.06371547230151957,1
2012-11-28,1,0.614771992671208,0.337583101218551,0.04764490611095205,1
2012-11-29,1,0.9508794235225486,0.034227170614432006,0.01489340586292626,0
2012-12-04,0,0.9996235917612408,0.00014969753479050082,0.00022671070397523125,0
2012-12-05,0,0.9998075478891832,8.869537773801347e-06,0.00018358257341823822,0
2012-12-10,0,0.9998326306902031,1.7522111627935458e-06,0.00016561709915782454,0
2012-12-11,0,0.9999005273767453,4.320130595741969e-06,9.515249309662852e-05,0
2012-12-12,0,0.9998973333832161,2.47952078682487e-06,0.00010018709644666121,0
2012-12-13,0,0.9998957156195845,1.5976501206222027e-06,0.0001026867311805952,0
2012-12-14,0,0.9998661222801157,1.2187847769364366e-06,0.00013265893547008875,0
2012-12-17,0,0.9997945835426709,9.950991540378893e-06,0.00019546546488544803,0
2012-12-18,0,0.9994801054119593,4.857274919610071e-06,0.0005150373133202057,0
2012-12-19,0,0.9986818265821312,4.422191082163178e-06,0.001313751227624477,0
2012-12-20,0,0.9989500436004212,1.642996663025855e-05,0.001033526432202422,0
