Pair,Entry Year,Entry Date,Exit Date,Direction,Entry Spread,Exit Spread,Opt_Entry_Z,Opt_Exit_Z,Net PnL (bps),Holding Days,Exit Reason
USD-EUR 10Y,2020,2020-02-28,2020-03-03,Long,-0.044068353480788636,-0.11257059187139651,1.5,0.5,-690.0223839060787,4,Mean Reversion
USD-EUR 10Y,2020,2020-07-14,2020-07-15,Long,-0.0067631044778819205,-0.00127266775152729,1.5,0.5,49.904367263546305,1,Mean Reversion
USD-EUR 10Y,2020,2020-09-07,2020-09-09,Short,0.028337006761370243,0.004238821585579977,1.5,0.5,235.98185175790266,2,Regime Shift (Forced)
USD-EUR 10Y,2020,2020-10-06,2020-10-07,Short,0.00767718838305248,0.03285705381355686,1.5,0.5,-256.7986543050438,1,Mean Reversion
USD-EUR 10Y,2020,2020-10-09,2020-10-13,Short,0.02374487480943699,-0.00697171549417408,1.5,0.5,302.1659030361107,4,Regime Shift (Forced)
USD-EUR 10Y,2022,2022-04-27,2022-05-04,Long,0.05619936034684214,-0.020630208745628043,1.5,0.5,-773.2956909247018,7,Mean Reversion
USD-EUR 10Y,2022,2022-09-23,2022-09-26,Short,-0.007198470371272414,0.0735545442650718,1.5,0.5,-812.5301463634421,3,Mean Reversion
USD-EUR 10Y,2022,2022-10-18,2022-10-19,Short,0.009342672425793452,0.027261425712589826,1.5,0.5,-184.18753286796374,1,Mean Reversion
USD-EUR 10Y,2022,2022-10-21,2022-10-24,Short,0.00970034032467959,0.05035397392682617,1.5,0.5,-411.5363360214658,3,Mean Reversion
USD-EUR 10Y,2022,2022-10-25,2022-10-27,Short,0.025118521423051376,0.020234143182023434,1.5,0.5,43.843782410279424,2,Mean Reversion
USD-EUR 10Y,2022,2022-11-11,2022-11-15,Long,-0.08983033358819847,-0.03412456850210144,1.5,0.5,552.0576508609704,4,Regime Shift (Forced)
USD-EUR 10Y,2022,2022-12-14,2022-12-16,Long,-0.03961021374547502,-0.04289527100181001,1.5,0.5,-37.850572563349886,2,Regime Shift (Forced)
USD-EUR 10Y,2023,2023-01-09,2023-01-11,Long,-0.03664142673953674,-0.005482034245321898,1.5,1.0,306.5939249421484,2,Mean Reversion
USD-EUR 10Y,2023,2023-01-13,2023-01-16,Long,0.008566817356966627,0.0021845563862372686,1.5,1.0,-68.8226097072936,3,Mean Reversion
USD-EUR 10Y,2023,2023-01-19,2023-01-23,Long,-0.02327124650581691,0.004311954992232581,1.5,1.0,270.83201498049493,4,Mean Reversion
USD-EUR 10Y,2023,2023-02-02,2023-02-08,Long,0.02893289131600163,-0.024850776020740817,1.5,1.0,-542.8366733674245,6,Mean Reversion
USD-EUR 10Y,2023,2023-03-13,2023-03-14,Long,-0.005158467949774703,0.000775585601850759,1.5,1.0,54.34053551625462,1,Mean Reversion
USD-EUR 10Y,2023,2023-04-05,2023-04-06,Long,-0.01488577079182618,-0.010071268618276896,1.5,1.0,43.14502173549285,1,Mean Reversion
USD-EUR 10Y,2023,2023-04-13,2023-04-14,Long,0.005601313784825868,0.014389834553729663,1.5,1.0,82.88520768903795,1,Mean Reversion
USD-EUR 10Y,2023,2023-04-18,2023-04-19,Short,0.003553544295664457,-0.0027460165805375247,1.5,1.0,57.99560876201981,1,Mean Reversion
USD-EUR 10Y,2024,2024-02-14,2024-02-16,Short,0.02219109550362308,-0.0019366492663031032,1.5,1.0,236.27744769926184,2,Mean Reversion
USD-EUR 10Y,2024,2024-04-11,2024-04-15,Short,0.02978517598380659,0.011918321957122835,1.5,1.0,173.66854026683754,4,Regime Shift (Forced)
USD-EUR 10Y,2024,2024-04-15,2024-04-16,Short,0.011918321957122835,0.011797470265082488,1.5,1.0,-3.7914830795965315,1,Mean Reversion
USD-EUR 10Y,2024,2024-11-25,2024-11-27,Short,-0.02446390283789146,0.00039267366694240025,1.5,1.0,-253.56576504833862,2,Mean Reversion
USD-EUR 5Y,2011,2011-01-06,2011-01-07,Short,-0.009580051662413824,-0.037190178673214724,1.5,1.0,271.101270108009,1,Mean Reversion
USD-EUR 5Y,2011,2011-01-10,2011-01-12,Long,-0.04120949011221664,-0.09038067478677592,1.5,1.0,-496.71184674559277,2,Mean Reversion
USD-EUR 5Y,2011,2011-03-02,2011-03-03,Long,0.014422414466456202,0.00030961498100245954,1.5,1.0,-146.1279948545374,1,Mean Reversion
USD-EUR 5Y,2011,2011-03-07,2011-03-08,Long,-0.010372747999556564,-0.0031952695457957425,1.5,1.0,66.77478453760821,1,Mean Reversion
