Pair,Entry Year,Entry Date,Exit Date,Direction,Entry Spread,Exit Spread,Net PnL (bps),Holding Days,Exit Reason
USD-EUR 10Y,2024,2024-04-11,2024-04-15,Short,0.02978517598380659,0.011918321957122835,173.66854026683754,4,Regime Shift (Forced)
USD-EUR 5Y,2011,2011-03-11,2011-03-14,Long,0.002027294288606152,-0.034524398647902466,-370.5169293650862,3,Mean Reversion
USD-EUR 5Y,2011,2011-06-06,2011-06-10,Long,-0.013128980158316761,0.022238151002959894,348.67131161276654,4,Regime Shift (Forced)
USD-EUR 5Y,2011,2011-06-15,2011-06-17,Short,-0.025740765271744515,-0.018838953021818483,-74.01812249926031,2,Mean Reversion
USD-EUR 5Y,2011,2011-12-26,2012-01-06,Short,0.037165383736947166,-0.007977247031177637,446.42630768124803,11,Mean Reversion
USD-EUR 5Y,2013,2013-10-31,2013-11-08,Short,0.06744164898136751,0.049239893484395614,177.01755496971893,8,Mean Reversion
USD-EUR 5Y,2013,2013-12-20,2014-01-03,Short,0.05216436356351728,0.004351216234643962,473.13147328873316,14,Mean Reversion
USD-EUR 5Y,2014,2014-12-08,2014-12-12,Short,0.06370242163998156,-0.04757305911310197,1107.7548075308353,4,Mean Reversion
USD-EUR 5Y,2016,2016-03-17,2016-03-22,Long,-0.032750277521653715,0.028800234213809534,610.5051173546325,5,Mean Reversion
USD-EUR 5Y,2016,2016-05-19,2016-05-27,Short,0.049429992600096395,0.027659609444779132,212.70383155317262,8,Mean Reversion
USD-EUR 5Y,2022,2022-04-28,2022-05-06,Short,-0.025421538248724618,-0.012254403844171646,-136.6713440455297,8,Mean Reversion
USD-EUR 5Y,2022,2022-09-23,2022-09-27,Short,0.013868825998276879,0.004750613875677878,86.18212122599002,4,Hard Stop
USD-EUR 5Y,2022,2022-11-11,2022-11-16,Long,-0.10618472753357588,-0.006231774136543189,994.529533970327,5,Hard Stop
USD-EUR 5Y,2022,2022-12-14,2022-12-16,Long,-0.04707520444824276,-0.05425366203052162,-76.78457582278864,2,Hard Stop
USD-EUR 5Y,2023,2023-01-09,2023-01-12,Long,-0.04626640423085604,-0.050249590342410055,-44.83186111554016,3,Mean Reversion
USD-EUR 5Y,2023,2023-01-13,2023-01-16,Long,0.005783125030928149,0.0060282059034413304,-2.5491912748681855,3,Mean Reversion
USD-EUR 5Y,2023,2023-02-02,2023-02-07,Long,0.019097617636902653,0.01835273458711506,-12.448830497875925,5,Hard Stop
USD-EUR 5Y,2023,2023-02-07,2023-02-14,Short,0.01835273458711506,0.016265030438798123,15.877041483169378,7,Mean Reversion
USD-EUR 5Y,2023,2023-03-10,2023-03-15,Long,-0.06880641077258587,-0.028056819938173216,402.4959083441265,5,Mean Reversion
USD-EUR 5Y,2023,2023-04-05,2023-04-07,Long,-0.018041304559038185,0.05429518897667873,718.3649353571692,2,Mean Reversion
USD-EUR 5Y,2023,2023-04-12,2023-04-14,Short,-0.0577209387110067,0.02216960197173945,-803.9054068274614,2,Mean Reversion
USD-EUR 5Y,2023,2023-04-18,2023-04-19,Short,0.0034560421729648017,-0.0016089306337991882,45.6497280676399,1,Mean Reversion
USD-EUR 5Y,2024,2024-02-14,2024-02-22,Short,0.017788105052078507,-0.00205127543299799,193.39380485076498,8,Mean Reversion
USD-EUR 5Y,2024,2024-04-11,2024-04-15,Short,0.03477697343695629,0.00808473043200797,261.92243004948324,4,Regime Shift (Forced)
